"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload"
tx_fnlbc2m3sgi,GATEWAY_SETTLEMENT,pay_041RGOMY-REF,-333766,INR,2026-07-09,2026-08-26T17:33:59.628Z,GATEWAY_REFUND: -3337.66 INR,"{""reference"":""pay_041RGOMY-REF""}"
tx_pl56lg83s1k,GATEWAY_SETTLEMENT,pay_1APJYDV2,1769625,INR,2026-08-21,2026-08-26T07:47:07.628Z,GATEWAY_SETTLEMENT: 17696.25 INR,"{""reference"":""pay_1APJYDV2""}"
tx_7r2n98dj44j,GATEWAY_SETTLEMENT,pay_HYKSHBMU,2462954,INR,2026-07-15,2026-08-26T01:44:33.628Z,GATEWAY_SALE: 24629.54 INR,"{""reference"":""pay_HYKSHBMU""}"
tx_oo32gmbo8si,GATEWAY_SETTLEMENT,pay_HYKSHBMU-REF,-615739,INR,2026-07-15,2026-08-26T13:44:32.628Z,GATEWAY_REFUND: -6157.39 INR,"{""reference"":""pay_HYKSHBMU-REF""}"
tx_yqbfn0kep5,GATEWAY_SETTLEMENT,pay_Q5O88M4U_1,253271,INR,2026-08-15,2026-08-25T21:43:48.628Z,GATEWAY_SPLIT_SETTLEMENT: 2532.71 INR,"{""reference"":""pay_Q5O88M4U_1""}"
tx_cgrnho0wl8,GATEWAY_SETTLEMENT,pay_Q5O88M4U_2,253271,INR,2026-08-15,2026-08-25T19:45:15.628Z,GATEWAY_SPLIT_SETTLEMENT: 2532.71 INR,"{""reference"":""pay_Q5O88M4U_2""}"
tx_900f5l6v4y,GATEWAY_SETTLEMENT,pay_Q5O88M4U_3,253271,INR,2026-08-15,2026-08-26T01:12:24.628Z,GATEWAY_SPLIT_SETTLEMENT: 2532.71 INR,"{""reference"":""pay_Q5O88M4U_3""}"
tx_jv2t4seit8b,GATEWAY_SETTLEMENT,pay_Q5O88M4U_4,253271,INR,2026-08-15,2026-08-26T12:17:06.628Z,GATEWAY_SPLIT_SETTLEMENT: 2532.71 INR,"{""reference"":""pay_Q5O88M4U_4""}"
tx_kl21a2s14pl,GATEWAY_SETTLEMENT,pay_Q5O88M4U_5,253269,INR,2026-08-15,2026-08-26T16:37:39.628Z,GATEWAY_SPLIT_SETTLEMENT: 2532.69 INR,"{""reference"":""pay_Q5O88M4U_5""}"
tx_4kdo5nsy6xe,GATEWAY_SETTLEMENT,pay_MMSJDQ3N,645142,INR,2026-07-14,2026-08-26T00:40:53.629Z,GATEWAY_SALE: 6451.42 INR,"{""reference"":""pay_MMSJDQ3N""}"
tx_xow0msddh6,GATEWAY_SETTLEMENT,pay_MMSJDQ3N-REF,-161286,INR,2026-07-14,2026-08-26T02:03:09.629Z,GATEWAY_REFUND: -1612.86 INR,"{""reference"":""pay_MMSJDQ3N-REF""}"
tx_gvyq3dthssd,GATEWAY_SETTLEMENT,pay_CRRI4VKK,4214354,INR,2026-07-16,2026-08-26T03:58:59.629Z,GATEWAY_SETTLEMENT: 42143.54 INR,"{""reference"":""pay_CRRI4VKK""}"
tx_xor2eyz1aec,GATEWAY_SETTLEMENT,pay_AI1999J8,4236508,INR,2026-07-13,2026-08-26T04:57:53.629Z,GATEWAY_SETTLEMENT: 42365.08 INR,"{""reference"":""pay_AI1999J8""}"
tx_8mg77zif87l,GATEWAY_SETTLEMENT,pay_PA72O83E,3112512,INR,2026-08-08,2026-08-26T09:57:25.629Z,GATEWAY_SALE: 31125.12 INR,"{""reference"":""pay_PA72O83E""}"
tx_2m5gsrmw2fs,GATEWAY_SETTLEMENT,pay_PA72O83E-REF,-778128,INR,2026-08-08,2026-08-25T21:39:25.629Z,GATEWAY_REFUND: -7781.28 INR,"{""reference"":""pay_PA72O83E-REF""}"
tx_bvaicon5exf,GATEWAY_SETTLEMENT,pay_63J55R5S,4062233,INR,2026-08-18,2026-08-25T09:04:45.629Z,BRAINTREE PAYMENT: 40622.33 INR,"{""gatewayProvider"":""SQUARE""}"
tx_4i7ppzo7bom,GATEWAY_SETTLEMENT,pay_JX87OEZT,2181636,INR,2026-08-05,2026-08-25T22:24:56.629Z,GATEWAY_SETTLEMENT: 21816.36 INR,"{""reference"":""pay_JX87OEZT""}"
tx_dv6g5jxwpzm,GATEWAY_SETTLEMENT,pay_1HDPY7ER,4039330,INR,2026-07-30,2026-08-26T10:54:41.630Z,GATEWAY_SETTLEMENT: 40393.3 INR,"{""reference"":""pay_1HDPY7ER""}"
tx_fj76qsmvbjk,GATEWAY_SETTLEMENT,pay_QEHXVPAG,3800961,INR,2026-08-06,2026-08-26T15:20:55.630Z,GATEWAY_SETTLEMENT: 38009.61 INR,"{""reference"":""pay_QEHXVPAG""}"
tx_gw0nsdrc6vj,GATEWAY_SETTLEMENT,pay_GD53HKJ7,2992345,INR,2026-08-13,2026-08-26T11:39:36.630Z,GATEWAY_SETTLEMENT: 29923.45 INR,"{""reference"":""pay_GD53HKJ7""}"
tx_mm3wyzj186h,GATEWAY_SETTLEMENT,pay_Y7OL8MPK,3667044,INR,2026-07-10,2026-08-25T08:29:38.630Z,PAYPAL PAYMENT: 36670.44 INR,"{""gatewayProvider"":""RAZORPAY""}"
tx_9f3kt1efne7,GATEWAY_SETTLEMENT,pay_X8ZSPQT9,1970812,INR,2026-08-16,2026-08-26T09:59:15.630Z,GATEWAY_SETTLEMENT: 19708.12 INR,"{""reference"":""pay_X8ZSPQT9""}"
tx_38ddk5by4na,GATEWAY_SETTLEMENT,pay_OTHA4TP2,162748,INR,2026-08-15,2026-08-26T05:13:36.630Z,GATEWAY_SETTLEMENT: 1627.48 INR,"{""reference"":""pay_OTHA4TP2""}"
tx_igmidq9k1er,GATEWAY_SETTLEMENT,pay_RL9UZF46,2621876,INR,2026-07-19,2026-08-26T13:53:22.630Z,GATEWAY_SALE: 26218.76 INR,"{""reference"":""pay_RL9UZF46""}"
tx_pvhu0ew2to,GATEWAY_SETTLEMENT,pay_RL9UZF46-REF,-655469,INR,2026-07-19,2026-08-26T16:08:50.630Z,GATEWAY_REFUND: -6554.69 INR,"{""reference"":""pay_RL9UZF46-REF""}"
tx_l3pk74c9yh,GATEWAY_SETTLEMENT,pay_ANSKXACM,1367914,INR,2026-07-22,2026-08-25T18:25:43.630Z,SQUARE PAYMENT: 13679.14 INR,"{""gatewayProvider"":""SQUARE""}"
tx_xfw4y2r8nog,GATEWAY_SETTLEMENT,pay_8JZ7WUQ4,1164194,INR,2026-07-16,2026-08-26T08:09:05.630Z,GATEWAY_SETTLEMENT: 11641.94 INR,"{""reference"":""pay_8JZ7WUQ4""}"
tx_anasf4ybuwo,GATEWAY_SETTLEMENT,pay_FYL796KO,3782817,INR,2026-07-27,2026-08-25T23:01:17.630Z,GATEWAY_SETTLEMENT: 37828.17 INR,"{""reference"":""pay_FYL796KO""}"
tx_3exwk0ksgwe,GATEWAY_SETTLEMENT,pay_0NTO7UW8,3897660,INR,2026-07-16,2026-08-24T21:49:08.630Z,RAZORPAY PAYMENT: 38976.6 INR,"{""gatewayProvider"":""PAYPAL""}"
tx_3vr2agifnxs,GATEWAY_SETTLEMENT,pay_RRKXVJJE,255284,INR,2026-07-15,2026-08-26T15:15:50.630Z,GATEWAY_SETTLEMENT: 2552.84 INR,"{""reference"":""pay_RRKXVJJE""}"
tx_c4bmd240phq,GATEWAY_SETTLEMENT,pay_87HQPLHL_1,116982,INR,2026-08-12,2026-08-26T09:42:41.630Z,GATEWAY_SPLIT_SETTLEMENT: 1169.82 INR,"{""reference"":""pay_87HQPLHL_1""}"
tx_upwb0gunpgp,GATEWAY_SETTLEMENT,pay_87HQPLHL_2,116982,INR,2026-08-12,2026-08-25T19:14:47.630Z,GATEWAY_SPLIT_SETTLEMENT: 1169.82 INR,"{""reference"":""pay_87HQPLHL_2""}"
tx_f55uu9m5axi,GATEWAY_SETTLEMENT,pay_87HQPLHL_3,116982,INR,2026-08-12,2026-08-26T00:01:06.630Z,GATEWAY_SPLIT_SETTLEMENT: 1169.82 INR,"{""reference"":""pay_87HQPLHL_3""}"
tx_t9jhc88zf3,GATEWAY_SETTLEMENT,pay_87HQPLHL_4,116982,INR,2026-08-12,2026-08-26T03:17:36.630Z,GATEWAY_SPLIT_SETTLEMENT: 1169.82 INR,"{""reference"":""pay_87HQPLHL_4""}"
tx_ouwfgwxk35,GATEWAY_SETTLEMENT,pay_DZWM0217,3476319,INR,2026-07-19,2026-08-26T04:09:38.630Z,GATEWAY_SETTLEMENT: 34763.19 INR,"{""reference"":""pay_DZWM0217""}"
tx_5vhst6llolo,GATEWAY_SETTLEMENT,pay_QK43P2HM_1,1512769,INR,2026-07-09,2026-08-25T22:35:49.630Z,GATEWAY_SPLIT_SETTLEMENT: 15127.69 INR,"{""reference"":""pay_QK43P2HM_1""}"
tx_0dm2l6c5brys,GATEWAY_SETTLEMENT,pay_QK43P2HM_2,1512769,INR,2026-07-09,2026-08-26T00:16:26.630Z,GATEWAY_SPLIT_SETTLEMENT: 15127.69 INR,"{""reference"":""pay_QK43P2HM_2""}"
tx_ufca5wcum3c,GATEWAY_SETTLEMENT,pay_I3309BRQ,4442191,INR,2026-08-12,2026-08-26T01:43:06.630Z,GATEWAY_SETTLEMENT: 44421.91 INR,"{""reference"":""pay_I3309BRQ""}"
tx_dpb8emyl2i5,GATEWAY_SETTLEMENT,pay_DVHTLKB7,2280322,INR,2026-08-12,2026-08-26T15:06:30.630Z,GATEWAY_SETTLEMENT: 22803.22 INR,"{""reference"":""pay_DVHTLKB7""}"
tx_hkbazic56kc,GATEWAY_SETTLEMENT,pay_JKMANT46_1,469272,INR,2026-07-28,2026-08-26T13:09:27.630Z,GATEWAY_SPLIT_SETTLEMENT: 4692.72 INR,"{""reference"":""pay_JKMANT46_1""}"
tx_0hp4lldg2jm,GATEWAY_SETTLEMENT,pay_JKMANT46_2,469272,INR,2026-07-28,2026-08-26T07:24:10.630Z,GATEWAY_SPLIT_SETTLEMENT: 4692.72 INR,"{""reference"":""pay_JKMANT46_2""}"
tx_89f9zi6yw7f,GATEWAY_SETTLEMENT,pay_JKMANT46_3,469272,INR,2026-07-28,2026-08-26T03:49:23.630Z,GATEWAY_SPLIT_SETTLEMENT: 4692.72 INR,"{""reference"":""pay_JKMANT46_3""}"
tx_ej1ixdfqxfi,GATEWAY_SETTLEMENT,pay_JKMANT46_4,469272,INR,2026-07-28,2026-08-25T19:37:18.630Z,GATEWAY_SPLIT_SETTLEMENT: 4692.72 INR,"{""reference"":""pay_JKMANT46_4""}"
tx_23e2y0g40ag,GATEWAY_SETTLEMENT,pay_JKMANT46_5,469270,INR,2026-07-28,2026-08-25T18:44:54.630Z,GATEWAY_SPLIT_SETTLEMENT: 4692.7 INR,"{""reference"":""pay_JKMANT46_5""}"
tx_lh4g6m7lx3,GATEWAY_SETTLEMENT,pay_8P1PZBSM,2536398,INR,2026-07-27,2026-08-26T03:40:36.630Z,GATEWAY_SETTLEMENT: 25363.98 INR,"{""reference"":""pay_8P1PZBSM""}"
tx_p24goe2nox,GATEWAY_SETTLEMENT,pay_DWWEY02O,2923372,INR,2026-07-24,2026-08-24T18:41:36.630Z,BRAINTREE PAYMENT: 29233.72 INR,"{""gatewayProvider"":""BRAINTREE""}"
tx_bw9e4n56c08,GATEWAY_SETTLEMENT,pay_LW15EP4I,291353,INR,2026-07-17,2026-08-25T20:29:11.630Z,GATEWAY_SETTLEMENT: 2913.53 INR,"{""reference"":""pay_LW15EP4I""}"
tx_w68iox19h4j,GATEWAY_SETTLEMENT,pay_1EIW78AI,3261530,INR,2026-07-30,2026-08-26T12:13:26.630Z,GATEWAY_SETTLEMENT: 32615.3 INR,"{""reference"":""pay_1EIW78AI""}"
tx_u2hxblki0xo,GATEWAY_SETTLEMENT,pay_D7IMBBFI,3127017,INR,2026-07-21,2026-08-26T15:15:38.631Z,GATEWAY_SALE: 31270.17 INR,"{""reference"":""pay_D7IMBBFI""}"
tx_o8781csl2z,GATEWAY_SETTLEMENT,pay_D7IMBBFI-REF,-781754,INR,2026-07-21,2026-08-25T21:55:42.631Z,GATEWAY_REFUND: -7817.54 INR,"{""reference"":""pay_D7IMBBFI-REF""}"
tx_fbs96ka0g8t,GATEWAY_SETTLEMENT,pay_xanft8z6,844943,INR,2026-07-29,2026-08-26T06:22:59.631Z,GATEWAY_SETTLEMENT: 8449.43 INR,"{""reference"":""pay_xanft8z6""}"
tx_258n31y985f,GATEWAY_SETTLEMENT,pay_A1EJPJH0,4083319,INR,2026-07-27,2026-08-25T18:50:24.631Z,GATEWAY_SETTLEMENT: 40833.19 INR,"{""reference"":""pay_A1EJPJH0""}"
tx_7n1quj1rvkl,GATEWAY_SETTLEMENT,pay_JB3GHIJ3_1,740963,INR,2026-08-14,2026-08-26T14:08:19.631Z,GATEWAY_SPLIT_SETTLEMENT: 7409.63 INR,"{""reference"":""pay_JB3GHIJ3_1""}"
tx_mfqwrnpnjc,GATEWAY_SETTLEMENT,pay_JB3GHIJ3_2,740963,INR,2026-08-14,2026-08-26T08:08:12.631Z,GATEWAY_SPLIT_SETTLEMENT: 7409.63 INR,"{""reference"":""pay_JB3GHIJ3_2""}"
tx_vc98pu7yef,GATEWAY_SETTLEMENT,pay_8L2PTZQE,3582610,INR,2026-07-21,2026-08-25T00:16:38.631Z,SQUARE PAYMENT: 35826.1 INR,"{""gatewayProvider"":""PAYPAL""}"
tx_xy0r4f7ytx,GATEWAY_SETTLEMENT,pay_C47T847C_1,1740377,INR,2026-08-22,2026-08-26T18:14:40.631Z,GATEWAY_SPLIT_SETTLEMENT: 17403.77 INR,"{""reference"":""pay_C47T847C_1""}"
tx_bx7c3izw6fq,GATEWAY_SETTLEMENT,pay_C47T847C_2,1740377,INR,2026-08-22,2026-08-26T00:47:55.631Z,GATEWAY_SPLIT_SETTLEMENT: 17403.77 INR,"{""reference"":""pay_C47T847C_2""}"
tx_e0wlh6jg82,GATEWAY_SETTLEMENT,pay_B24OVGUG_1,316309,INR,2026-07-09,2026-08-26T12:37:45.631Z,GATEWAY_SPLIT_SETTLEMENT: 3163.09 INR,"{""reference"":""pay_B24OVGUG_1""}"
tx_khdc0lb05ck,GATEWAY_SETTLEMENT,pay_B24OVGUG_2,316309,INR,2026-07-09,2026-08-26T07:36:06.631Z,GATEWAY_SPLIT_SETTLEMENT: 3163.09 INR,"{""reference"":""pay_B24OVGUG_2""}"
tx_nwc1ba0cr4,GATEWAY_SETTLEMENT,pay_5QML6PEQ,2164374,INR,2026-07-14,2026-08-25T21:52:59.631Z,GATEWAY_SALE: 21643.74 INR,"{""reference"":""pay_5QML6PEQ""}"
tx_46hb9525l22,GATEWAY_SETTLEMENT,pay_5QML6PEQ-REF,-541094,INR,2026-07-14,2026-08-25T18:40:51.631Z,GATEWAY_REFUND: -5410.94 INR,"{""reference"":""pay_5QML6PEQ-REF""}"
tx_iguoswze7pr,GATEWAY_SETTLEMENT,pay_USF0LWHE,1196063,INR,2026-08-17,2026-08-25T23:59:17.631Z,GATEWAY_SETTLEMENT: 11960.63 INR,"{""reference"":""pay_USF0LWHE""}"
tx_bhrv4ezmrms,GATEWAY_SETTLEMENT,pay_CZ9JXBWG,2716866,INR,2026-07-31,2026-08-26T00:55:27.631Z,GATEWAY_SETTLEMENT: 27168.66 INR,"{""reference"":""pay_CZ9JXBWG""}"
tx_fln44u6n2oo,GATEWAY_SETTLEMENT,pay_51PAFVLJ_1,523594,INR,2026-07-28,2026-08-26T18:04:26.631Z,GATEWAY_SPLIT_SETTLEMENT: 5235.94 INR,"{""reference"":""pay_51PAFVLJ_1""}"
tx_fipw517e5k,GATEWAY_SETTLEMENT,pay_51PAFVLJ_2,523594,INR,2026-07-28,2026-08-26T10:54:13.631Z,GATEWAY_SPLIT_SETTLEMENT: 5235.94 INR,"{""reference"":""pay_51PAFVLJ_2""}"
tx_qaq831d09mb,GATEWAY_SETTLEMENT,pay_51PAFVLJ_3,523594,INR,2026-07-28,2026-08-26T03:47:14.631Z,GATEWAY_SPLIT_SETTLEMENT: 5235.94 INR,"{""reference"":""pay_51PAFVLJ_3""}"
tx_yv82w81dwn,GATEWAY_SETTLEMENT,pay_51PAFVLJ_4,523594,INR,2026-07-28,2026-08-26T13:49:25.631Z,GATEWAY_SPLIT_SETTLEMENT: 5235.94 INR,"{""reference"":""pay_51PAFVLJ_4""}"
tx_wkvuun3qh3j,GATEWAY_SETTLEMENT,pay_51PAFVLJ_5,523595,INR,2026-07-28,2026-08-26T12:16:39.631Z,GATEWAY_SPLIT_SETTLEMENT: 5235.95 INR,"{""reference"":""pay_51PAFVLJ_5""}"
tx_ki0zolkg0ed,GATEWAY_SETTLEMENT,pay_1DK1QNMW,1935533,INR,2026-07-10,2026-08-26T05:01:12.631Z,GATEWAY_SETTLEMENT: 19355.33 INR,"{""reference"":""pay_1DK1QNMW""}"
tx_zdffj5kjsdi,GATEWAY_SETTLEMENT,pay_WLC2TC41,2065464,INR,2026-07-23,2026-08-26T04:08:59.631Z,GATEWAY_SALE: 20654.64 INR,"{""reference"":""pay_WLC2TC41""}"
tx_07722hcbam7d,GATEWAY_SETTLEMENT,pay_WLC2TC41-REF,-516366,INR,2026-07-23,2026-08-26T15:20:11.631Z,GATEWAY_REFUND: -5163.66 INR,"{""reference"":""pay_WLC2TC41-REF""}"
tx_kjc727mx4fb,GATEWAY_SETTLEMENT,pay_HPW3JSLF,1113021,INR,2026-08-20,2026-08-25T12:23:40.631Z,RAZORPAY PAYMENT: 11130.21 INR,"{""gatewayProvider"":""STRIPE""}"
tx_xmdjbb2vhqk,GATEWAY_SETTLEMENT,pay_Y0BGQBZC_1,791943,INR,2026-08-22,2026-08-26T06:43:57.631Z,GATEWAY_SPLIT_SETTLEMENT: 7919.43 INR,"{""reference"":""pay_Y0BGQBZC_1""}"
tx_dyee1lsq27l,GATEWAY_SETTLEMENT,pay_Y0BGQBZC_2,791943,INR,2026-08-22,2026-08-26T06:14:34.631Z,GATEWAY_SPLIT_SETTLEMENT: 7919.43 INR,"{""reference"":""pay_Y0BGQBZC_2""}"
tx_zrzm2rl3q8n,GATEWAY_SETTLEMENT,pay_Y0BGQBZC_3,791942,INR,2026-08-22,2026-08-26T14:16:40.631Z,GATEWAY_SPLIT_SETTLEMENT: 7919.42 INR,"{""reference"":""pay_Y0BGQBZC_3""}"
tx_165bcottgh6,GATEWAY_SETTLEMENT,pay_KWXVJC2Z,3765058,INR,2026-07-22,2026-08-26T09:49:21.631Z,GATEWAY_SETTLEMENT: 37650.58 INR,"{""reference"":""pay_KWXVJC2Z""}"
tx_q46wly5yrft,GATEWAY_SETTLEMENT,pay_BAA6BDFR,1318813,INR,2026-08-11,2026-08-25T18:46:37.631Z,GATEWAY_SETTLEMENT: 13188.13 INR,"{""reference"":""pay_BAA6BDFR""}"
tx_2z69c6j9e2h,GATEWAY_SETTLEMENT,pay_2MM5MOD8,3891983,INR,2026-07-28,2026-08-26T12:52:18.631Z,GATEWAY_SETTLEMENT: 38919.83 INR,"{""reference"":""pay_2MM5MOD8""}"
tx_pzcehbyhlwf,GATEWAY_SETTLEMENT,pay_9XMV527T,867862,INR,2026-07-26,2026-08-26T08:01:36.631Z,GATEWAY_SETTLEMENT: 8678.62 INR,"{""reference"":""pay_9XMV527T""}"
tx_zmklny95x2,GATEWAY_SETTLEMENT,pay_81XAB3JV,303783,INR,2026-07-18,2026-08-26T02:45:10.631Z,GATEWAY_SETTLEMENT: 3037.83 INR,"{""reference"":""pay_81XAB3JV""}"
tx_nkp1v7u7qxp,GATEWAY_SETTLEMENT, pay_M9QJW7Q3 ,2694995,INR,2026-07-11,2026-08-25T22:38:02.631Z,GATEWAY_SETTLEMENT: 26949.95 INR,"{""reference"":"" pay_M9QJW7Q3 ""}"
tx_8ippy6l6q0f,GATEWAY_SETTLEMENT,pay_JPUOCT3V,3294460,INR,2026-07-09,2026-08-26T15:50:40.631Z,GATEWAY_SETTLEMENT: 32944.6 INR,"{""reference"":""pay_JPUOCT3V""}"
tx_0i57kx8lgb4,GATEWAY_SETTLEMENT,pay_AC5PDQRY_1,847152,INR,2026-08-09,2026-08-26T08:51:51.631Z,GATEWAY_SPLIT_SETTLEMENT: 8471.52 INR,"{""reference"":""pay_AC5PDQRY_1""}"
tx_1jitq72loja,GATEWAY_SETTLEMENT,pay_AC5PDQRY_2,847152,INR,2026-08-09,2026-08-26T10:58:08.631Z,GATEWAY_SPLIT_SETTLEMENT: 8471.52 INR,"{""reference"":""pay_AC5PDQRY_2""}"
tx_wnmymwcl36p,GATEWAY_SETTLEMENT,pay_AC5PDQRY_3,847152,INR,2026-08-09,2026-08-25T23:54:13.631Z,GATEWAY_SPLIT_SETTLEMENT: 8471.52 INR,"{""reference"":""pay_AC5PDQRY_3""}"
tx_4tfly8oa4g8,GATEWAY_SETTLEMENT,pay_AC5PDQRY_4,847152,INR,2026-08-09,2026-08-25T23:29:48.631Z,GATEWAY_SPLIT_SETTLEMENT: 8471.52 INR,"{""reference"":""pay_AC5PDQRY_4""}"
tx_n2pxhvrs5bs,GATEWAY_SETTLEMENT,pay_AC5PDQRY_5,847154,INR,2026-08-09,2026-08-26T01:05:15.631Z,GATEWAY_SPLIT_SETTLEMENT: 8471.54 INR,"{""reference"":""pay_AC5PDQRY_5""}"
tx_qulumn5ya1h,GATEWAY_SETTLEMENT,pay_OGMH0Z9R,4148830,INR,2026-07-28,2026-08-26T04:29:11.631Z,GATEWAY_SETTLEMENT: 41488.3 INR,"{""reference"":""pay_OGMH0Z9R""}"
tx_qre4oz8alwk,GATEWAY_SETTLEMENT,pay_FCZRDP3W_1,412428,INR,2026-08-18,2026-08-26T00:37:49.631Z,GATEWAY_SPLIT_SETTLEMENT: 4124.28 INR,"{""reference"":""pay_FCZRDP3W_1""}"
tx_jvdkg2kadw,GATEWAY_SETTLEMENT,pay_FCZRDP3W_2,412428,INR,2026-08-18,2026-08-25T19:07:31.631Z,GATEWAY_SPLIT_SETTLEMENT: 4124.28 INR,"{""reference"":""pay_FCZRDP3W_2""}"
tx_bvy9jn2i61i,GATEWAY_SETTLEMENT,pay_FCZRDP3W_3,412428,INR,2026-08-18,2026-08-26T09:52:11.631Z,GATEWAY_SPLIT_SETTLEMENT: 4124.28 INR,"{""reference"":""pay_FCZRDP3W_3""}"
tx_lpa6hnty7b,GATEWAY_SETTLEMENT,pay_FCZRDP3W_4,412428,INR,2026-08-18,2026-08-26T04:55:22.631Z,GATEWAY_SPLIT_SETTLEMENT: 4124.28 INR,"{""reference"":""pay_FCZRDP3W_4""}"
tx_839dzus88z4,GATEWAY_SETTLEMENT,pay_FCZRDP3W_5,412428,INR,2026-08-18,2026-08-26T01:54:20.631Z,GATEWAY_SPLIT_SETTLEMENT: 4124.28 INR,"{""reference"":""pay_FCZRDP3W_5""}"
tx_1qk1zt9rfif,GATEWAY_SETTLEMENT,pay_30BBTT4O,302518,INR,2026-07-26,2026-08-25T03:36:30.631Z,PAYPAL PAYMENT: 3025.18 INR,"{""gatewayProvider"":""SQUARE""}"
tx_4fm48iw6kdb,GATEWAY_SETTLEMENT,pay_CKPI5IMY,3753157,INR,2026-08-19,2026-08-26T00:12:43.631Z,GATEWAY_SETTLEMENT: 37531.57 INR,"{""reference"":""pay_CKPI5IMY""}"
tx_g13t6dco077,GATEWAY_SETTLEMENT,pay_50VGJ4EE,3741974,INR,2026-08-14,2026-08-26T11:45:37.631Z,GATEWAY_SETTLEMENT: 37419.74 INR,"{""reference"":""pay_50VGJ4EE""}"
tx_7gsjyvzyaq,GATEWAY_SETTLEMENT,pay_BYRAM0IG,1163708,INR,2026-07-26,2026-08-26T05:26:30.631Z,GATEWAY_SETTLEMENT: 11637.08 INR,"{""reference"":""pay_BYRAM0IG""}"
tx_fulcjeaaxy4,GATEWAY_SETTLEMENT,pay_S5OUNZMH,2597651,INR,2026-08-08,2026-08-25T20:59:49.632Z,GATEWAY_SETTLEMENT: 25976.51 INR,"{""reference"":""pay_S5OUNZMH""}"
tx_lv6z8hseyyi,GATEWAY_SETTLEMENT,pay_MREEUV2C_1,486468,INR,2026-07-30,2026-08-25T19:02:35.632Z,GATEWAY_SPLIT_SETTLEMENT: 4864.68 INR,"{""reference"":""pay_MREEUV2C_1""}"
tx_03uk4s95gi4e,GATEWAY_SETTLEMENT,pay_MREEUV2C_2,486468,INR,2026-07-30,2026-08-26T11:36:26.632Z,GATEWAY_SPLIT_SETTLEMENT: 4864.68 INR,"{""reference"":""pay_MREEUV2C_2""}"
tx_2tsz6cnwvs2,GATEWAY_SETTLEMENT,pay_MREEUV2C_3,486468,INR,2026-07-30,2026-08-26T14:04:13.632Z,GATEWAY_SPLIT_SETTLEMENT: 4864.68 INR,"{""reference"":""pay_MREEUV2C_3""}"
tx_b3t7jffxfnv,GATEWAY_SETTLEMENT,pay_HEIYZMJK_1,62175,INR,2026-07-24,2026-08-26T14:02:38.632Z,GATEWAY_SPLIT_SETTLEMENT: 621.75 INR,"{""reference"":""pay_HEIYZMJK_1""}"
tx_sw7du00bpgo,GATEWAY_SETTLEMENT,pay_HEIYZMJK_2,62175,INR,2026-07-24,2026-08-26T03:47:42.632Z,GATEWAY_SPLIT_SETTLEMENT: 621.75 INR,"{""reference"":""pay_HEIYZMJK_2""}"
