[2026-08-27T06:59:27.258Z] Model: embedding-001, Latency: 134.8092734154106ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:34.097Z] Model: embedding-001, Latency: 133.12611976709547ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:34.413Z] Model: embedding-001, Latency: 99.23475281858956ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:34.739Z] Model: embedding-001, Latency: 145.63842593063856ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:35.065Z] Model: embedding-001, Latency: 99.82611285478677ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:35.421Z] Model: embedding-001, Latency: 81.39596816045763ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:35.784Z] Model: embedding-001, Latency: 120.31464842121451ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:36.181Z] Model: embedding-001, Latency: 126.49299259106377ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:36.594Z] Model: embedding-001, Latency: 85.75200751293386ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:36.969Z] Model: embedding-001, Latency: 137.73187576193715ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:37.331Z] Model: embedding-001, Latency: 55.27614546157851ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:37.678Z] Model: embedding-001, Latency: 82.56956012010868ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:38.009Z] Model: embedding-001, Latency: 85.7925777929531ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:38.391Z] Model: embedding-001, Latency: 137.1169202659661ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:38.731Z] Model: embedding-001, Latency: 85.70674596117354ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:39.039Z] Model: embedding-001, Latency: 62.410305268061386ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:39.415Z] Model: embedding-001, Latency: 80.54768210793354ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:39.722Z] Model: embedding-001, Latency: 68.94603031012872ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:40.040Z] Model: embedding-001, Latency: 77.60307042083826ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:40.357Z] Model: embedding-001, Latency: 79.23170421540559ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:40.682Z] Model: embedding-001, Latency: 68.97509387511239ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:41.031Z] Model: embedding-001, Latency: 135.25634114558093ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:41.375Z] Model: embedding-001, Latency: 56.85775854040763ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:41.729Z] Model: embedding-001, Latency: 124.89182947862012ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:42.063Z] Model: embedding-001, Latency: 74.46933139144272ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:42.396Z] Model: embedding-001, Latency: 141.65498618533834ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:42.728Z] Model: embedding-001, Latency: 53.323601893975734ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:43.051Z] Model: embedding-001, Latency: 119.93509216952425ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:43.409Z] Model: embedding-001, Latency: 128.11171403157945ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:43.741Z] Model: embedding-001, Latency: 144.38067929984334ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:44.046Z] Model: embedding-001, Latency: 140.77438688187883ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:44.386Z] Model: embedding-001, Latency: 110.27104589032527ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:44.723Z] Model: embedding-001, Latency: 146.3645084666958ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:45.061Z] Model: embedding-001, Latency: 118.21283449276467ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:45.388Z] Model: embedding-001, Latency: 65.34788210760178ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:45.764Z] Model: embedding-001, Latency: 80.99376372776726ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:46.098Z] Model: embedding-001, Latency: 52.43042149844357ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:46.460Z] Model: embedding-001, Latency: 114.71798140033064ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:46.801Z] Model: embedding-001, Latency: 56.625579757299036ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:47.132Z] Model: embedding-001, Latency: 100.76000651501442ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:47.505Z] Model: embedding-001, Latency: 101.1167822144491ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:47.879Z] Model: embedding-001, Latency: 118.26961804945043ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:48.209Z] Model: embedding-001, Latency: 119.61080898799527ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:48.589Z] Model: embedding-001, Latency: 100.57829317177163ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:48.943Z] Model: embedding-001, Latency: 66.20698867859176ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:49.284Z] Model: embedding-001, Latency: 140.30596148433835ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:49.633Z] Model: embedding-001, Latency: 61.99675179755464ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:49.979Z] Model: embedding-001, Latency: 108.40654526984639ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:50.336Z] Model: embedding-001, Latency: 142.01013454840694ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:50.685Z] Model: embedding-001, Latency: 94.90467680868711ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:51.021Z] Model: embedding-001, Latency: 147.38325672264193ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:51.342Z] Model: embedding-001, Latency: 52.54955408058342ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:51.685Z] Model: embedding-001, Latency: 88.96032303126364ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:52.011Z] Model: embedding-001, Latency: 94.72494063251384ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:52.332Z] Model: embedding-001, Latency: 104.39786295646377ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:52.678Z] Model: embedding-001, Latency: 73.26664538959989ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:53.035Z] Model: embedding-001, Latency: 132.6596805398297ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:53.392Z] Model: embedding-001, Latency: 90.35234349317443ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:53.773Z] Model: embedding-001, Latency: 59.52708945353643ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:54.119Z] Model: embedding-001, Latency: 146.68242825086665ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:54.477Z] Model: embedding-001, Latency: 125.53563699385337ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:54.795Z] Model: embedding-001, Latency: 99.99575337599465ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:55.125Z] Model: embedding-001, Latency: 53.75569553373645ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:55.457Z] Model: embedding-001, Latency: 135.58229979267782ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:55.803Z] Model: embedding-001, Latency: 132.70795794905933ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:56.146Z] Model: embedding-001, Latency: 101.73237438027394ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:56.534Z] Model: embedding-001, Latency: 58.859758146149076ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:56.878Z] Model: embedding-001, Latency: 126.05082338094068ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:57.212Z] Model: embedding-001, Latency: 98.94585265807609ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:57.554Z] Model: embedding-001, Latency: 113.22437188104638ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:57.912Z] Model: embedding-001, Latency: 90.97321139049482ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:58.277Z] Model: embedding-001, Latency: 103.64028341385819ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:58.659Z] Model: embedding-001, Latency: 58.68845222745026ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:59.036Z] Model: embedding-001, Latency: 90.1212071555231ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:59.422Z] Model: embedding-001, Latency: 103.06359105317411ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:59.778Z] Model: embedding-001, Latency: 53.90674461725686ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:00.128Z] Model: embedding-001, Latency: 76.88520430341812ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:00.510Z] Model: embedding-001, Latency: 104.12084984701272ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:00.897Z] Model: embedding-001, Latency: 103.20814729808296ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:01.257Z] Model: embedding-001, Latency: 116.79627943647948ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:01.612Z] Model: embedding-001, Latency: 149.88378008062256ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:01.954Z] Model: embedding-001, Latency: 100.71757097745794ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:02.310Z] Model: embedding-001, Latency: 82.8951979380326ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:02.679Z] Model: embedding-001, Latency: 52.725198179324906ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:03.018Z] Model: embedding-001, Latency: 106.43632870357038ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:03.354Z] Model: embedding-001, Latency: 50.52043087370307ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:03.687Z] Model: embedding-001, Latency: 92.22852112865546ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:04.024Z] Model: embedding-001, Latency: 118.88626955294977ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:04.400Z] Model: embedding-001, Latency: 89.02343469052937ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:04.805Z] Model: embedding-001, Latency: 93.7561289439052ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:05.174Z] Model: embedding-001, Latency: 66.23493198227476ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:05.579Z] Model: embedding-001, Latency: 132.29290761415268ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:05.956Z] Model: embedding-001, Latency: 121.39028924734063ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:06.284Z] Model: embedding-001, Latency: 81.12347133213268ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:06.627Z] Model: embedding-001, Latency: 63.181766476817714ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:06.968Z] Model: embedding-001, Latency: 56.11704116953153ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:07.297Z] Model: embedding-001, Latency: 50.520694845763295ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:07.667Z] Model: embedding-001, Latency: 129.16726064946363ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:08.010Z] Model: embedding-001, Latency: 108.07635056217075ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:08.357Z] Model: embedding-001, Latency: 131.68653130329776ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:08.682Z] Model: embedding-001, Latency: 136.71467042860525ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:09.017Z] Model: embedding-001, Latency: 81.17248459546273ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:09.363Z] Model: embedding-001, Latency: 55.28410648411483ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:09.702Z] Model: embedding-001, Latency: 85.68839399581324ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:10.059Z] Model: embedding-001, Latency: 113.77198867636004ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:10.442Z] Model: embedding-001, Latency: 52.9681366792245ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:10.767Z] Model: embedding-001, Latency: 121.62867091513175ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:11.089Z] Model: embedding-001, Latency: 72.49092061364706ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:11.476Z] Model: embedding-001, Latency: 89.55867474050822ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:11.823Z] Model: embedding-001, Latency: 89.30997630289953ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:12.168Z] Model: embedding-001, Latency: 68.29668021356022ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:12.520Z] Model: embedding-001, Latency: 112.14209327602715ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:12.864Z] Model: embedding-001, Latency: 125.13891306145565ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:13.224Z] Model: embedding-001, Latency: 52.37593141916147ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:13.605Z] Model: embedding-001, Latency: 83.8123695405274ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:13.946Z] Model: embedding-001, Latency: 109.08786345349004ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:14.297Z] Model: embedding-001, Latency: 58.5137078154229ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:14.669Z] Model: embedding-001, Latency: 128.1696000425811ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:15.036Z] Model: embedding-001, Latency: 64.63330587667173ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:15.441Z] Model: embedding-001, Latency: 61.6017391975569ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:15.813Z] Model: embedding-001, Latency: 121.07543161403399ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:16.239Z] Model: embedding-001, Latency: 148.3191770968998ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:16.607Z] Model: embedding-001, Latency: 117.89678883905246ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:16.997Z] Model: embedding-001, Latency: 85.82018843103614ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:17.406Z] Model: embedding-001, Latency: 80.68698684119323ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:17.739Z] Model: embedding-001, Latency: 58.749457880408904ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:18.058Z] Model: embedding-001, Latency: 124.65472581289615ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:18.431Z] Model: embedding-001, Latency: 65.02862374150973ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:18.811Z] Model: embedding-001, Latency: 91.86451970469305ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:19.128Z] Model: embedding-001, Latency: 121.26278321234747ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:19.455Z] Model: embedding-001, Latency: 146.22090635029105ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:19.809Z] Model: embedding-001, Latency: 106.19765769803098ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:20.162Z] Model: embedding-001, Latency: 128.15700983637998ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:20.517Z] Model: embedding-001, Latency: 74.46601913316402ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:20.909Z] Model: embedding-001, Latency: 58.947342517598145ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:21.270Z] Model: embedding-001, Latency: 105.63340413046936ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:21.628Z] Model: embedding-001, Latency: 144.1125349233816ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:21.968Z] Model: embedding-001, Latency: 53.19822333766066ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:22.382Z] Model: embedding-001, Latency: 84.19065253232877ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:22.760Z] Model: embedding-001, Latency: 126.98127487121292ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:23.113Z] Model: embedding-001, Latency: 61.74715237761683ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:23.456Z] Model: embedding-001, Latency: 99.34297161537762ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:23.778Z] Model: embedding-001, Latency: 84.25156361851688ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:24.141Z] Model: embedding-001, Latency: 149.49394237342932ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:24.510Z] Model: embedding-001, Latency: 96.33406441698583ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:24.883Z] Model: embedding-001, Latency: 107.09192361741685ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:25.219Z] Model: embedding-001, Latency: 145.04387055148544ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:25.802Z] Model: embedding-001, Latency: 63.29874520180921ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:26.241Z] Model: embedding-001, Latency: 108.13401175674217ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:26.677Z] Model: embedding-001, Latency: 80.14189616571565ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:27.052Z] Model: embedding-001, Latency: 102.84434441557586ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:27.417Z] Model: embedding-001, Latency: 70.33724854252466ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:27.851Z] Model: embedding-001, Latency: 73.41565486254603ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:28.174Z] Model: embedding-001, Latency: 134.78162797156492ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:28.573Z] Model: embedding-001, Latency: 101.72035524386186ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:28.944Z] Model: embedding-001, Latency: 77.18956765838068ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:29.356Z] Model: embedding-001, Latency: 140.3785269526315ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:29.787Z] Model: embedding-001, Latency: 108.21910150278407ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:30.236Z] Model: embedding-001, Latency: 99.87798858330598ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:30.717Z] Model: embedding-001, Latency: 140.11993719247226ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:31.297Z] Model: embedding-001, Latency: 133.6405670153253ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:31.802Z] Model: embedding-001, Latency: 58.539952145680076ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:32.337Z] Model: embedding-001, Latency: 69.3973968913753ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:32.822Z] Model: embedding-001, Latency: 114.13766438061171ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:33.272Z] Model: embedding-001, Latency: 126.93801463621992ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:33.711Z] Model: embedding-001, Latency: 56.618318486819064ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:34.185Z] Model: embedding-001, Latency: 67.88031160380515ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:34.714Z] Model: embedding-001, Latency: 142.32057915187153ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:35.184Z] Model: embedding-001, Latency: 122.56731524673428ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:35.697Z] Model: embedding-001, Latency: 135.3499223112807ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:36.119Z] Model: embedding-001, Latency: 147.03757675137194ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:36.606Z] Model: embedding-001, Latency: 133.70613117425023ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:37.017Z] Model: embedding-001, Latency: 109.75083665268313ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:37.577Z] Model: embedding-001, Latency: 112.36708989239025ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:38.176Z] Model: embedding-001, Latency: 142.33560522839014ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:38.854Z] Model: embedding-001, Latency: 111.78282548477452ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:39.345Z] Model: embedding-001, Latency: 114.43041957486697ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:39.815Z] Model: embedding-001, Latency: 130.01432251760704ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:40.338Z] Model: embedding-001, Latency: 142.39141803983028ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:40.748Z] Model: embedding-001, Latency: 100.94048657382284ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:41.304Z] Model: embedding-001, Latency: 81.15291768513777ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:41.775Z] Model: embedding-001, Latency: 125.10735163315483ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:42.303Z] Model: embedding-001, Latency: 70.34701684443777ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:42.756Z] Model: embedding-001, Latency: 69.24897375451586ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:43.214Z] Model: embedding-001, Latency: 130.46658834195745ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:43.654Z] Model: embedding-001, Latency: 98.13681276205598ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:44.143Z] Model: embedding-001, Latency: 91.62740783679808ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:44.773Z] Model: embedding-001, Latency: 62.76886564997799ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:45.289Z] Model: embedding-001, Latency: 123.50032979010595ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:45.819Z] Model: embedding-001, Latency: 97.33846156154691ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:46.459Z] Model: embedding-001, Latency: 127.77645787440679ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:46.958Z] Model: embedding-001, Latency: 101.5408268508744ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:47.425Z] Model: embedding-001, Latency: 148.94652345972938ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:47.996Z] Model: embedding-001, Latency: 110.32505320984497ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:48.498Z] Model: embedding-001, Latency: 135.52755776750965ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:48.990Z] Model: embedding-001, Latency: 79.68234059321641ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:49.582Z] Model: embedding-001, Latency: 68.5956725012123ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:50.169Z] Model: embedding-001, Latency: 54.728686566442576ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:51.024Z] Model: embedding-001, Latency: 127.51690588291316ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:51.590Z] Model: embedding-001, Latency: 148.55493677379013ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:51.993Z] Model: embedding-001, Latency: 100.1758711489606ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:52.374Z] Model: embedding-001, Latency: 85.23886503561538ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:52.748Z] Model: embedding-001, Latency: 147.59464920719904ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:53.125Z] Model: embedding-001, Latency: 126.90211490562702ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:53.591Z] Model: embedding-001, Latency: 70.50682306487406ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:54.008Z] Model: embedding-001, Latency: 123.06171641974014ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:54.410Z] Model: embedding-001, Latency: 65.2250129949992ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:54.818Z] Model: embedding-001, Latency: 61.1151347197389ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T07:00:55.170Z] Model: embedding-001, Latency: 79.61800987204015ms, Tokens: 1, Cost: ₹0.0000
